AcctNo,Loan Type,Customer Type,Age,Source Code,Total Income,Term,Balance,Net Due,Security Code,Bal after Ref,Net Due Renewed,FICO,BNI,CR Limit,Agg Net Bal,Date Opened,PI Constant,Debt Ratio,After Debt Ratio,Housing Type,Collateral Description
3017,Live Check,New,47,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,1/29/2019,$94.30,0.00,0,OTHER,UNSECURED LIVE CHECK LOAN
3018,Sales,New,54,Sales,"$3,333.33",24,"$2,500.00",$0.00,Personal Property,$0.00,$0.00,614,134,"$5,000.00","$2,503.29",1/29/2019,$132.17,42.03,46,OWN HOME,"SOFA,LOVESEAT"
3019,Live Check,Present,65,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$5,000.00","$1,889.89",1/30/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3020,Live Check,New,78,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,1/31/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3021,Consumer,Present,36,Branch Generated,"$4,372.29",24,"$2,450.25","$1,034.51",Personal Property,$853.33,"$1,887.84",624,161,"$3,500.00","$2,076.84",1/31/2019,$140.00,28.93,29.98,LIVE WITH PARENTS,",PP"
3022,Consumer,Present,53,Branch Generated,"$2,819.14",24,"$2,629.10","$1,213.86",Personal Property,$831.88,"$2,045.74",658,210,"$5,000.00","$2,243.38",2/1/2019,$150.00,52.04,54.02,OWN HOME,",PP"
3023,Consumer,Former,77,Branch Generated,"$2,313.90",15,"$1,985.00",$510.76,Personal Property,"$1,296.75","$1,807.51",720,355,"$7,500.00","$1,857.17",2/1/2019,$155.00,18.32,19.62,BUY HOME,",PP"
3024,Live Check,Former,67,Live Check Prospect,"$1,009.00",12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$2,000.00","$1,664.78",2/4/2019,$94.30,0.00,0,OTHER,UNSECURED LIVE CHECK LOAN
3025,Live Check,New,60,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,2/5/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3026,Live Check,New,48,Live Check Prospect,$0.00,18,"$2,220.00","$2,100.00",Unsecured,$0.00,"$2,100.00",0,0,"$4,000.00","$2,125.00",2/5/2019,$152.65,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3027,Consumer,Present,69,Branch Generated,"$3,107.03",24,"$2,378.71","$1,001.45",Personal Property,$969.92,"$1,971.37",693,332,"$5,000.00","$2,187.74",2/5/2019,$136.00,32.97,34.31,OWN HOME,",PP"
3029,Consumer,Present,25,Branch Generated,"$1,685.62",21,"$1,802.87",$461.97,Personal Property,$897.33,"$1,359.30",652,327,"$7,500.00","$1,565.50",2/7/2019,$107.00,26.70,26.7,LIVE WITH PARENTS,",PP"
3031,Consumer,Present,56,Branch Generated,$799.00,15,"$1,451.67",$296.12,Personal Property,$862.24,"$1,158.36",646,279,"$1,500.00","$1,249.45",2/8/2019,$115.00,29.41,32.54,OWN HOME,",PP"
3032,Consumer,Present,65,Branch Generated,"$1,227.00",12,"$1,133.18",$729.28,Personal Property,$237.54,$966.82,574,210,"$1,000.00","$1,069.71",2/7/2019,$110.00,49.71,49.71,RENT HOME,",PP"
3033,Live Check,Former,26,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,"$1,000.00","$1,525.00",2/8/2019,$125.32,0.00,0,LIVE WITH PARENTS,UNSECURED LIVE CHECK LOAN
3034,Live Check,Former,77,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$3,000.00","$2,283.44",2/8/2019,$163.41,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3035,Live Check,Former,51,Live Check Prospect,"$3,900.00",12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$5,000.00","$1,918.49",2/8/2019,$94.30,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3036,Live Check,New,50,Live Check Prospect,$0.00,18,"$2,220.00","$2,100.00",Unsecured,$0.00,"$2,100.00",0,0,"$4,000.00","$2,125.00",2/8/2019,$152.65,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3037,Consumer,Present,59,Branch Generated,$821.00,12,"$1,133.18",$350.10,Personal Property,$545.13,$895.23,517,204,"$1,000.00","$1,071.59",2/8/2019,$110.00,58.47,57.13,OTHER,",PP"
3038,Consumer,Present,51,Branch Generated,"$3,900.00",24,"$2,271.40",$765.49,Personal Property,$964.00,"$1,729.49",592,136,"$5,000.00","$1,918.49",2/8/2019,$130.00,31.03,34.36,OWN HOME,",PP"
3039,Consumer,New,48,Prospect List/Mailer,"$1,277.25",24,"$3,076.22","$1,795.68",Motor Vehicle,$0.00,"$1,795.68",583,227,"$3,000.00","$2,007.49",2/11/2019,$175.00,45.57,59.27,RENT APT,"2004 JEEP VIN: 1J4GW48N34C379742 ,MV"
3040,Consumer,Present,57,Branch Generated,$739.00,21,"$2,217.29","$1,342.65",Personal Property,$490.22,"$1,832.87",727,416,"$2,000.00","$1,923.69",2/12/2019,$140.00,25.71,31.94,OWN HOME,",PP"
3041,Live Check,Former,68,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,$0.00,"$2,275.00",2/11/2019,$163.41,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3042,Live Check,Former,53,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,$0.00,"$1,525.00",2/11/2019,$125.32,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3043,Live Check,Former,58,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$3,000.00","$2,275.00",2/12/2019,$163.41,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3044,Live Check,Former,79,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$1,000.00","$2,275.00",2/12/2019,$163.41,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3045,Consumer,Present,69,Branch Generated,"$1,542.00",21,"$2,217.29",$949.84,Personal Property,$883.03,"$1,832.87",636,240,"$5,000.00","$2,021.87",2/19/2019,$140.00,32.17,35.15,OWN HOME,",PP"
3046,Live Check,Former,68,Live Check,$0.00,36,"$5,120.00","$5,000.00",Unsecured,$0.00,"$5,000.00",0,0,"$5,000.00","$5,025.00",2/14/2019,$220.17,0.00,0,BUY MH / OWN LAND,UNSECURED LIVE CHECK LOAN
3047,Live Check,Former,60,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,"$1,500.00","$1,525.00",2/14/2019,$125.32,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3048,Live Check,Former,76,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,500.00","$2,275.00",2/15/2019,$163.41,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3049,Consumer,Present,64,Branch Generated,"$1,805.00",15,"$1,585.00",$604.82,Personal Property,$839.00,"$1,443.82",646,241,"$2,000.00","$1,468.82",2/19/2019,$125.00,21.27,21.83,OWN HOME,",PP"
3050,Consumer,Present,54,Branch Generated,"$1,217.45",24,"$2,235.63",$514.22,Personal Property,"$1,219.60","$1,733.82",598,303,"$1,500.00","$1,886.82",2/15/2019,$128.00,46.57,45.18,OWN HOME,",PP"
3051,Consumer,Present,63,Branch Generated,$791.00,24,"$2,897.37",$369.83,Personal Property,"$2,236.08","$2,605.91",572,272,"$1,500.00","$2,650.91",2/19/2019,$165.00,33.25,33.5,RENT HOME,",PP"
3052,Live Check,Former,55,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,500.00","$2,275.00",2/19/2019,$163.41,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3054,Consumer,Present,67,Branch Generated,"$1,009.00",18,"$1,813.70",$503.39,Personal Property,$972.39,"$1,475.78",651,251,"$2,000.00","$1,664.78",2/21/2019,$122.00,42.25,45,OWN HOME,",PP"
3055,Consumer,Present,35,Branch Generated,"$1,733.11",15,"$1,451.67",$558.30,Personal Property,$607.54,"$1,165.84",622,256,"$3,500.00","$1,282.84",2/20/2019,$115.00,26.89,27.75,RENT HOME,",PP"
3056,Consumer,Present,65,Branch Generated,"$3,861.58",15,"$1,585.00",$681.13,Personal Property,$761.70,"$1,442.83",0,251,"$1,500.00","$1,467.83",2/20/2019,$125.00,0.00,3.24,OWN HOME,",PP"
3057,Consumer,Present,60,Branch Generated,"$1,186.42",24,"$2,271.40",$868.18,Personal Property,"$1,145.13","$2,013.31",640,262,"$2,000.00","$2,069.51",2/20/2019,$130.00,37.25,36.33,LIVE WITH PARENTS,",PP"
3058,Live Check,Former,60,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,250.00","$2,275.00",2/21/2019,$163.41,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3060,Live Check,Former,30,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,"$1,500.00","$1,525.00",2/21/2019,$125.32,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3061,Consumer,Present,28,Counter Solicitation,"$1,756.78",24,"$2,450.25","$1,107.16",Personal Property,$816.68,"$1,923.84",583,198,"$3,500.00","$2,076.84",2/21/2019,$140.00,52.65,53.51,LIVE WITH PARENTS,",PP"
3062,Live Check,Former,65,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,"$1,500.00","$1,525.00",2/22/2019,$125.32,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3063,Live Check,Former,55,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,$0.00,$0.00,2/22/2019,$125.32,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3064,Live Check,Former,77,Live Check,$0.00,18,"$2,370.00","$2,250.00",Unsecured,$0.00,"$2,250.00",0,0,"$2,250.00","$2,275.00",2/22/2019,$163.41,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3065,Consumer,Present,65,Counter Solicitation,"$2,778.31",24,"$2,629.10","$1,916.70",Personal Property,$327.49,"$2,244.19",627,128,"$5,000.00","$2,397.19",2/22/2019,$150.00,53.09,46.22,OTHER,",PP"
3067,Consumer,Present,48,Branch Generated,$771.00,15,"$1,211.67",$505.53,Personal Property,$578.17,"$1,083.70",674,281,"$1,000.00","$1,128.70",2/22/2019,$97.00,97.41,93.77,LIVE WITH PARENTS,",PP"
3068,Consumer,Present,48,Branch Generated,"$2,383.25",30,"$3,286.06",$966.20,Personal Property,"$1,616.28","$2,582.48",662,310,"$5,000.00","$2,735.48",2/22/2019,$160.00,36.42,36.76,OWN HOME,",PP"
3069,Consumer,New,59,Internet,"$1,500.00",21,"$2,217.29","$1,832.87",Personal Property,$0.00,"$1,832.87",580,233,"$2,000.00","$2,021.87",2/23/2019,$140.00,28.87,38.2,LEASE OPTION TO BU,",PP"
3071,Consumer,New,74,Walk In,"$2,564.00",24,"$2,718.52","$2,336.04",Personal Property,$0.00,"$2,336.04",685,261,"$5,000.00","$2,525.04",2/26/2019,$155.00,24.06,29.13,BUY HOME,",PP"
3074,Consumer,Present,60,Branch Generated,"$2,241.67",24,"$3,612.77","$1,512.11",Motor Vehicle,"$1,980.66","$3,492.77",639,233,"$3,500.00","$3,517.77",2/25/2019,$205.00,42.87,42.87,OWN HOME,"2016 TOYOTA VIN: 2T3WFREV7GW272410 ,MV"
3075,Consumer,Present,59,Branch Generated,$816.17,18,"$1,845.00",$677.59,Personal Property,$970.82,"$1,648.41",678,348,"$1,500.00","$1,693.41",2/26/2019,$124.00,33.69,35.41,RENT HOME,",PP"
3076,Consumer,Present,64,Branch Generated,"$1,018.00",18,"$1,625.87","$1,216.13",Personal Property,$90.01,"$1,306.14",569,146,"$1,500.00","$1,495.14",2/25/2019,$110.00,51.65,54.11,RENT APT,",PP"
3077,Consumer,Present,62,Branch Generated,$514.00,15,"$1,385.00",$310.37,Personal Property,$822.62,"$1,132.99",559,233,"$1,000.00","$1,175.99",2/26/2019,$110.00,21.40,21.4,OWN HOME,",PP"
3078,Live Check,Former,61,Live Check,$0.00,15,"$1,590.00","$1,500.00",Unsecured,$0.00,"$1,500.00",0,0,"$1,500.00","$1,525.00",2/26/2019,$125.32,0.00,0,RENT APT,UNSECURED LIVE CHECK LOAN
3080,Consumer,Present,42,Branch Generated,"$2,991.15",24,"$2,539.67",$722.94,Personal Property,"$1,279.06","$2,002.00",584,89,"$5,000.00","$2,155.00",2/27/2019,$145.00,43.36,43.7,RENT HOME,",PP"
3081,Consumer,Present,61,Branch Generated,$601.00,18,"$1,234.56",$122.92,Personal Property,$885.37,"$1,008.29",581,306,"$1,000.00","$1,141.29",2/26/2019,$85.00,26.62,26.62,OTHER,",PP"
3082,Consumer,Present,68,Branch Generated,"$1,389.00",24,"$2,861.60",$398.71,Personal Property,"$1,852.18","$2,250.89",684,317,"$3,500.00","$2,439.89",2/27/2019,$163.00,50.11,50.11,OWN HOME,",PP"
3083,Consumer,New,56,Customer Referral,"$1,938.60",24,"$1,977.50","$1,561.77",Motor Vehicle,$0.00,"$1,561.77",599,261,"$3,000.00","$1,745.77",2/27/2019,$105.00,35.90,41.32,RENT HOME,"2008 BUICK VIN: 2G4WC582981180143 ,MV"
3084,Consumer,Present,72,Branch Generated,"$3,804.00",24,"$2,181.97",$231.94,Personal Property,"$1,571.98","$1,803.92",547,198,"$1,500.00","$2,008.92",2/27/2019,$125.00,52.87,53,OWN HOME,",PP"
3086,Sales,New,30,Sales,"$3,017.00",48,"$3,150.00","$3,150.00",Personal Property,$0.00,"$3,150.00",637,177,"$5,000.00","$3,150.00",2/28/2019,$102.69,6.60,10,RENT HOME,"2 Bedroom Sets, Sectional, 6 PC Dinette, Mattress"
3087,Consumer,Present,31,Branch Generated,$931.67,30,"$4,060.48",$514.92,Personal Property,"$2,696.58","$3,211.50",671,311,"$2,500.00","$3,400.50",2/28/2019,$197.00,45.08,46.91,OTHER,",PP"
