AcctNo,Loan Type,Customer Type,Age,Source Code,Total Income,Term,Balance,Net Due,Security Code,Bal after Ref,Net Due Renewed,FICO,BNI,CR Limit,Agg Net Bal,Date Opened,PI Constant,Debt Ratio,After Debt Ratio,Housing Type,Collateral Description
3178,Live Check,New,47,Live Check Prospect,$0.00,15,"$1,588.94","$1,499.00",Unsecured,$0.00,"$1,499.00",0,0,"$3,000.00","$1,418.30",4/4/2019,$125.28,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3179,Consumer,New,40,Internet,"$2,438.78",12,"$1,024.09",$733.07,Personal Property,$0.00,$733.07,678,221,"$10,000.00",$839.13,4/4/2019,$100.00,31.59,35.69,OWN HOME,",PP"
3180,Consumer,Present,72,Branch Generated,"$2,523.00",21,"$1,677.76","$1,026.32",Personal Property,$339.05,"$1,365.37",654,221,"$5,000.00","$1,569.56",4/5/2019,$100.00,43.20,43.44,BUY HOME,",PP"
3181,Consumer,Present,54,Branch Generated,"$1,594.67",24,"$2,629.10","$1,217.64",Personal Property,$828.30,"$2,045.94",654,294,"$7,500.00","$2,237.10",4/4/2019,$150.00,52.32,49.92,RENT HOME,",PP"
3182,Live Check,New,70,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,4/5/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3183,Live Check,Present,58,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00","$1,736.89",4/5/2019,$94.30,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3184,Live Check,New,41,Live Check Prospect,$0.00,15,"$1,588.94","$1,499.00",Unsecured,$0.00,"$1,499.00",0,0,"$3,000.00","$1,524.00",4/5/2019,$125.28,0.00,0,RENT HOME,UNSECURED LIVE CHECK LOAN
3185,Live Check,Former,69,Live Check Prospect,"$1,886.00",12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$5,000.00","$1,694.06",4/5/2019,$94.30,0.00,0,OWN HOME,UNSECURED LIVE CHECK LOAN
3186,Live Check,New,30,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$964.00,4/5/2019,$94.30,0.00,0,BUY HOME,UNSECURED LIVE CHECK LOAN
3187,Live Check,New,54,Live Check Prospect,$0.00,12,$995.34,$939.00,Unsecured,$0.00,$939.00,0,0,"$1,500.00",$880.07,4/5/2019,$94.30,0.00,0,BUY HOME,UNSECURED LIVE CHECK LOAN
3188,Consumer,Present,65,Branch Generated,$811.00,15,"$1,278.33",$518.79,Personal Property,$501.52,"$1,020.31",655,273,"$1,200.00","$1,189.31",4/8/2019,$102.00,73.37,70.53,RENT APT,",PP"
