acct_num,loan_type,cust_type,age,tot_income,tern,balance,net_due,security_code,bal_after_ref,net_due_renewed,fico,bni,cr_limit,agg_net_bal,date_opened,pmt,dti,is_bad
1797,1,2,57,$735.00,18,"$1,860.65",$431.72,10,"$1,230.27","$1,661.99",543,213,$500.00,"$1,706.99",11/20/2017,$125.00,25.17,0
1799,15,1,59,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/20/2017,$94.30,0,0
1800,1,2,67,"$1,107.00",21,"$2,035.21",$807.91,10,$999.19,"$1,807.10",618,205,"$1,000.00","$1,852.10",11/20/2017,$120.00,41.92,0
1801,1,2,65,$934.00,15,"$1,251.67",$504.25,10,$614.93,"$1,119.18",588,262,$500.00,"$1,164.18",11/20/2017,$100.00,47.54,0
1802,1,2,59,"$1,406.17",15,"$1,518.33","$1,230.93",10,$131.00,"$1,361.93",655,297,"$2,500.00","$1,406.93",11/20/2017,$120.00,28.73,0
1803,1,2,36,"$2,167.44",15,"$1,585.00","$1,001.82",10,$350.66,"$1,352.48",579,153,"$1,000.00","$1,397.48",11/20/2017,$125.00,13.29,0
1804,1,2,70,$672.00,18,"$1,469.35",$461.03,10,$847.16,"$1,308.19",641,361,$500.00,"$1,353.19",11/20/2017,$100.00,12.65,0
1805,1,2,33,$757.00,21,"$2,217.29",$663.70,10,"$1,311.52","$1,975.22",623,251,$500.00,"$2,020.22",11/20/2017,$140.00,49.8,0
1806,1,2,72,"$4,042.08",15,"$1,518.33","$1,158.02",10,$218.92,"$1,376.94",649,159,"$2,500.00","$1,421.94",11/20/2017,$120.00,32.01,0
1807,1,2,59,$663.00,15,"$1,651.67",$543.86,10,$939.45,"$1,483.31",604,288,$500.00,"$1,528.31",11/20/2017,$130.00,69.23,0
1808,1,2,61,"$1,103.00",15,"$1,385.00",$555.77,10,$684.78,"$1,240.55",582,282,"$1,000.00","$1,285.55",11/20/2017,$110.00,55.21,0
1809,1,2,64,"$1,214.00",15,"$1,278.33",$503.99,10,$639.46,"$1,143.45",643,265,"$1,500.00","$1,188.45",11/20/2017,$102.00,50.33,0
1810,1,2,79,"$1,310.00",18,"$1,625.87","$1,018.33",10,$450.65,"$1,468.98",652,335,"$3,000.00","$1,513.98",11/20/2017,$110.00,6.49,0
1811,1,2,51,"$1,733.33",24,"$2,468.13",$514.85,10,"$1,530.99","$2,045.84",604,162,"$2,000.00","$2,090.84",11/20/2017,$141.00,38.22,0
1812,1,3,54,"$3,651.74",15,"$1,185.00","$1,005.19",10,$0.00,"$1,005.19",529,138,$500.00,"$1,050.19",11/20/2017,$95.00,39.19,0
1814,1,2,48,$735.00,15,"$1,518.33",$544.61,10,$832.40,"$1,377.01",576,370,$500.00,"$1,422.01",11/21/2017,$120.00,17.69,1
1815,70,1,56,"$3,708.00",24,"$1,504.99","$1,504.99",10,$0.00,"$1,504.99",552,248,$500.00,"$1,504.99",11/21/2017,$79.56,9.09,0
1816,1,2,47,$975.00,15,"$1,385.00",$544.52,10,$526.39,"$1,070.91",471,223,$500.00,"$1,223.91",11/21/2017,$110.00,52.62,0
1817,1,2,52,"$2,112.50",12,"$1,264.09","$1,000.95",10,$87.00,"$1,087.95",584,288,"$1,000.00",$0.00,11/20/2017,$122.00,3.64,0
1818,1,2,70,$735.00,15,$785.00,$283.81,10,$418.43,$702.24,628,308,$500.00,$747.24,11/20/2017,$65.00,7.48,0
1819,1,2,60,$944.00,18,"$1,625.87",$657.56,10,$792.22,"$1,449.78",573,282,$500.00,"$1,494.78",11/21/2017,$110.00,37.92,0
1820,1,2,60,"$1,515.00",18,"$1,469.35",$519.55,10,$788.70,"$1,308.25",541,293,$500.00,"$1,353.25",11/21/2017,$100.00,63.1,0
1821,15,1,22,$0.00,12,$995.34,$0.00,15,$0.00,$0.00,0,0,"$2,500.00",$964.00,11/21/2017,$94.30,0,0
1822,1,2,58,"$1,856.00",18,"$1,907.61","$1,513.35",10,$191.17,"$1,704.52",679,271,"$3,000.00","$1,749.52",11/21/2017,$128.00,34.48,0
1823,1,3,60,"$2,206.62",15,"$1,251.67","$1,131.65",10,$0.00,"$1,131.65",574,199,$510.00,"$1,176.65",11/21/2017,$100.00,22.75,0
1824,1,2,41,$959.00,12,"$1,024.09",$492.88,10,$425.54,$918.42,610,159,"$1,000.00",$963.42,11/21/2017,$100.00,84.78,0
1825,1,2,64,"$2,344.70",24,"$2,271.40",$708.11,10,"$1,304.21","$2,012.32",709,140,"$2,000.00","$2,057.32",11/21/2017,$130.00,51.69,0
1826,1,2,58,$686.00,18,"$1,938.91",$658.35,10,"$1,074.39","$1,732.74",494,235,$500.00,"$1,777.74",11/21/2017,$130.00,26.97,0
1827,1,3,28,"$2,377.35",9,$622.92,$554.63,10,$0.00,$554.63,595,310,"$1,000.00",$599.63,11/21/2017,$80.00,10.52,0
